code,beta,se,pval,abs_40_M,abs_40_F,abs_50_M,abs_50_F,abs_60_M,abs_60_F,abs_40_MD,abs_40_FD,abs_50_MD,abs_50_FD,abs_60_MD,abs_60_FD,abs_40_MU,abs_40_FU,abs_50_MU,abs_50_FU,abs_60_MU,abs_60_FU,RR
G35,2.10297175795067,0.267532643869909,4e-15,8.9% [4.3%-13.2%],5.1% [2.4%-7.6%],20% [10%-28.8%],11.7% [5.8%-17.3%],41.3% [22.3%-55.6%],25.8% [13.2%-36.5%],0.0432736963354373,0.0244763180561379,0.100418496730757,0.0575502350406963,0.223049549498411,0.131804087041024,0.132372613729802,0.0764198943079363,0.287821624235762,0.173076558168271,0.556101375328252,0.365388402504447,8.19 [4.85-13.84]
G40,2.46656851729947,0.11444844847375,<2e-16,12.5% [9.8%-15.1%],7.2% [5.6%-8.8%],27.3% [21.9%-32.3%],16.4% [12.9%-19.7%],53.3% [44.5%-60.6%],34.8% [28.1%-40.8%],0.0981127735118399,0.0562641710324143,0.218965143618183,0.129389452845199,0.445038548312253,0.281142724391817,0.151032375636313,0.087905856785964,0.323061585185235,0.196911701908181,0.606376008012901,0.407896217620661,11.78 [9.41-14.74]
G41,2.97509589173555,0.27760433970499,<2e-16,20% [9.6%-29.1%],11.7% [5.5%-17.6%],41.3% [21.5%-56%],25.8% [12.7%-36.9%],72% [43.9%-86%],51% [27.7%-66.8%],0.096430470616281,0.0552024680780233,0.215451321106425,0.127037431646614,0.439452974329268,0.276794410908655,0.291376155320542,0.175655267213268,0.560466784508831,0.369374565268346,0.859666075382277,0.66759568196235,19.59 [11.37-33.76]
G45,1.02383048405874,0.114509294448208,<2e-16,3.1% [2.4%-3.8%],1.8% [1.4%-2.2%],7.3% [5.7%-8.8%],4.1% [3.2%-5.1%],16.4% [13%-19.8%],9.6% [7.5%-11.6%],0.0241664571564784,0.0136153452420913,0.056807990584312,0.0322368741402967,0.129956480389221,0.0750195304783212,0.0381186603766224,0.0215865245309189,0.0882293133349159,0.0505499080019629,0.197587583146733,0.116300915810697,2.78 [2.22-3.48]
G47,0.420677573055867,0.160513483252165,0.009,1.7% [1.2%-2.3%],<1%,4.1% [2.8%-5.3%],2.3% [1.6%-3%],9.4% [6.5%-12.2%],5.4% [3.7%-7%],0.0117794735228515,0.00661201655268395,0.0279595408404439,0.0157485280063995,0.0653893020286535,0.0371415586923936,0.0225207602370739,0.0127063364216583,0.0529236395809529,0.0300678300411353,0.121943232210728,0.0704164594628802,1.52 [1.11-2.09]
G51,1.38617830577595,0.242746742976169,1e-08,4.4% [2.4%-6.5%],2.5% [1.3%-3.7%],10.3% [5.5%-14.8%],5.9% [3.1%-8.6%],22.9% [12.7%-31.8%],13.5% [7.3%-19.3%],0.0235225857460394,0.01324341553723,0.0553647900486837,0.0313925050726254,0.12703975774473,0.0732533027536565,0.064986490883514,0.0369552203332557,0.148196072718973,0.0859692184063875,0.318394398562172,0.193314884721497,4 [2.49-6.44]
G56,0.18617560178031,0.110937232048673,0.093,1.4% [1.1%-1.7%],<1%,3.2% [2.5%-3.9%],1.8% [1.4%-2.2%],7.5% [5.9%-9.1%],4.3% [3.4%-5.2%],0.0106330665704484,0.00596989651554214,0.0252753129331083,0.0142343858883907,0.0592077457277427,0.0335958197618913,0.0165853109478004,0.00932190217720963,0.0390910842592656,0.0220855185072748,0.0909435555519079,0.0520068157581649,1.2 [0.97-1.5]
G62,1.74260559947962,0.200306080627165,<2e-16,6.3% [3.9%-8.7%],3.6% [2.2%-5%],14.4% [9%-19.4%],8.3% [5.1%-11.4%],30.9% [20.1%-40.3%],18.7% [11.8%-25.1%],0.0386052932943697,0.0218137925876006,0.0898932039939481,0.0513921273138298,0.201192536998484,0.118213992505745,0.0865846386820053,0.0495616843251879,0.194219817666909,0.114154493388126,0.40287170371504,0.251320326319867,5.71 [3.86-8.46]
G81,2.23904032796721,0.192732713059963,<2e-16,10.1% [6.4%-13.7%],5.8% [3.6%-7.9%],22.5% [14.7%-29.6%],13.3% [8.5%-17.9%],45.6% [31.5%-56.8%],28.9% [19.1%-37.5%],0.0640995202258312,0.0364240790154667,0.14657913189405,0.0849381617709486,0.314772849833795,0.19075912753867,0.136860865153437,0.0791949487535126,0.296079099676602,0.178668892018236,0.567743847861408,0.375150793331616,9.38 [6.43-13.69]
G83,2.62586985800499,0.258429560128419,<2e-16,14.5% [7.4%-21.1%],8.4% [4.2%-12.4%],31.3% [16.9%-43.2%],19% [9.9%-27.2%],59.2% [35.7%-74.1%],39.5% [21.9%-53.1%],0.0744858333077379,0.0424234250061315,0.169072231002271,0.0985139293888924,0.357128324399468,0.219141262703923,0.21088970081087,0.124425122690494,0.431857359641703,0.2718142834307,0.741013526273331,0.531387103909868,13.82 [8.33-22.93]
