code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
E87,0.000886717,-0.00044518,0.002027519,-0.043385912,0.197595703,-0.219569107,0.586896623
F10,0.00185647,-0.002317151,0.002488081,-0.12229127,0.131312366,-0.931300484,0.824150924
F20,0.000504153,0.001378368,0.002150497,0.21656552,0.337880347,0.640953289,0.260776516
F23,0.000207593,-0.002324889,0.002290909,-0.783673789,0.772219914,-1.0148324,0.844907137
F25,0.000172005,0.002221485,0.002333066,0.881857117,0.926151201,0.952174025,0.170504366
F30,0.000219455,0.000278443,0.002221961,0.089439779,0.713723786,0.125314276,0.450137375
F31,0.000898579,0.004836993,0.002405174,0.466169844,0.231800968,2.011078075,0.022158605
F32,0.00192171,0.00311167,0.002278615,0.159639906,0.116901183,1.365597007,0.086032743
F33,0.000747333,0.003503007,0.002279996,0.394228521,0.256590871,1.536408988,0.062219052
F41,0.000854095,0.000977751,0.002224753,0.098336167,0.22375191,0.439487496,0.33015417
F43,0.000539741,0.004356967,0.002132684,0.645944008,0.316181991,2.042950028,0.020528693
F45,0.000542706,0.00096364,0.002320996,0.142200689,0.342500483,0.415183907,0.339003639
F52,0.000305458,-0.0024675,0.002267155,-0.595557477,0.547202217,-1.088368172,0.861783697
F60,0.00029063,0.002629795,0.002221391,0.662544976,0.55965256,1.183850524,0.118236119
F99,0.000281733,-0.000324443,0.002680832,-0.083961467,0.69376229,-0.121023394,0.548163747
G20,0.000287664,-0.003686904,0.002063511,-0.937123809,0.5244956,-1.78671434,0.963008165
G24,0.000246145,0.001254472,0.002247031,0.364818324,0.653468913,0.558279539,0.288326757
G35,0.00136418,0.001990099,0.002103389,0.135403967,0.143112087,0.94613928,0.172038776
G37,0.000483394,0.00323503,0.002417403,0.526825065,0.393674376,1.33822544,0.090411479
G40,0.00176157,-0.001807722,0.002087358,-0.099603964,0.115011699,-0.866033324,0.806764056
G43,0.00217676,0.001650804,0.002271735,0.076492421,0.105264196,0.726670837,0.233713811
G44,0.000625743,0.003162054,0.002514544,0.41349548,0.328821814,1.25750623,0.104285192
G45,0.00334224,-0.00011839,0.002020488,-0.003878691,0.066195137,-0.058594796,0.523362572
G47,0.00600536,0.006435537,0.00246662,0.132671017,0.05085031,2.609050303,0.004539695
G50,0.000468566,-0.000169879,0.002289784,-0.028409902,0.382934662,-0.074189946,0.529570377
G51,0.000744368,0.002799688,0.002147077,0.316135466,0.242443804,1.303953578,0.096124705
G54,0.000323251,-0.0008545,0.002272478,-0.196430341,0.522391352,-0.376021426,0.646549516
G56,0.0174556,0.016245613,0.002630696,0.149831282,0.024262586,6.175404457,3.3e-10
G57,0.00216193,0.000824527,0.002580517,0.038419201,0.120240301,0.319520164,0.374666052
G58,0.000311389,-0.001009114,0.001983396,-0.239559423,0.470849903,-0.508780869,0.694547085
G61,0.000367735,0.000240052,0.002103794,0.049395592,0.432897854,0.114104498,0.454577478
G62,0.000527878,0.000983642,0.002231812,0.148613368,0.337192931,0.440736902,0.329701739
G70,0.000201661,0.001634446,0.002182548,0.564982707,0.75444641,0.748870561,0.226967613
G81,0.000759196,0.000601904,0.00224564,0.066844746,0.249390585,0.268032357,0.394337206
G82,0.000186833,0.002517343,0.002328068,0.929900852,0.859983041,1.081301383,0.139781536
G93,0.000530844,-0.001036489,0.001973857,-0.155853133,0.296801752,-0.525108534,0.700246128
G95,0.000492291,0.000730704,0.002218109,0.11715943,0.355646456,0.329426677,0.370916603
H00,0.00332445,0.000223339,0.002356632,0.007348394,0.077538852,0.094770482,0.462248567
H01,0.000329182,0.000747737,0.002115107,0.169220112,0.478669244,0.353522007,0.361848567
H02,0.00858247,0.001401488,0.002143529,0.021937309,0.033552393,0.653822498,0.256613085
H04,0.00275208,-0.002897887,0.002232119,-0.111004583,0.085502097,-1.298267372,0.902902263
H05,0.000293595,-0.001145285,0.002105691,-0.286025768,0.525879611,-0.543899711,0.706744756
H11,0.000812577,-0.000148946,0.002199545,-0.015621132,0.23068361,-0.067716695,0.52699442
H16,0.000287664,-0.004032444,0.002232459,-1.024951648,0.56743815,-1.806279061,0.96456262
H18,0.000545672,-0.00292837,0.002116916,-0.430130671,0.310941068,-1.383318946,0.916716454
H25,0.00786183,0.00807502,0.002373375,0.13517102,0.03972889,3.402335656,0.000334063
H26,0.0178678,0.010755404,0.002640611,0.097531831,0.023945509,4.073074046,2.32e-05
H27,0.000246145,-0.002613865,0.002266157,-0.760149347,0.659030818,-1.153435206,0.875634101
H33,0.00500001,0.002421018,0.002238978,0.057606171,0.053274679,1.081304907,0.139780753
H34,0.000421116,0.002595377,0.002090549,0.47549753,0.383008258,1.241481146,0.107214029
H35,0.00240214,-0.000913826,0.001928209,-0.039081126,0.082462695,-0.47392491,0.682223273
H40,0.00291519,-0.000165754,0.002351048,-0.006061041,0.085969381,-0.070502317,0.528103072
H43,0.000744368,-0.000134488,0.002520016,-0.01518617,0.284555463,-0.053368048,0.521280668
H49,0.000234283,-0.002383175,0.002133709,-0.723337935,0.647620426,-1.116916494,0.867984984
H50,0.00136418,0.001292994,0.002091399,0.087973776,0.142296302,0.618243585,0.268207392
H52,0.000394426,-0.000334901,0.002398473,-0.064894676,0.464758122,-0.139631076,0.555524257
H53,0.00107652,0.003041264,0.002211643,0.251972153,0.183237117,1.375115243,0.08454786
